City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,talakan,50.3167,130.3667,22.85,81,2,1.23,RU,1690411196
291,fale old settlement,-9.3852,-171.2468,28.4,73,15,8.39,TK,1690410793
292,antsiranana,-12.2787,49.2917,22.56,69,4,6.61,MG,1690411171
293,tambopata,-12.7333,-69.1833,25.94,83,20,3.09,PE,1690410756
294,tura,25.5198,90.2201,23.73,98,100,2.95,IN,1690410883
295,las tablas,7.7667,-80.2833,26.45,87,100,3.15,PA,1690410887
296,safaga,26.7292,33.9365,34.29,35,97,2.9,EG,1690411155
297,mount gambier,-37.8333,140.7667,8.8,70,2,4.82,AU,1690410768
298,champerico,14.3,-91.9167,33.3,64,8,4.24,GT,1690411197
299,tidjikja,18.5564,-11.4271,32.49,37,30,8.51,MR,1690411197
300,brigantine,39.4101,-74.3646,27.8,74,0,3.6,US,1690411197
301,media luna,20.1419,-77.435,29.21,74,100,4.85,CU,1690411197
302,newman,37.3138,-121.0208,40.59,9,0,6.35,US,1690410877
303,tamanrasset,22.785,5.5228,27.95,10,0,2.06,DZ,1690411028
304,coaticook,45.1334,-71.7991,25.87,71,95,2.37,CA,1690411197
305,korsakov,46.6328,142.7813,21.91,82,32,3.67,RU,1690410966
306,cam ranh,11.9214,109.1591,26.98,89,20,1.03,VN,1690411197
307,lucapa,-8.4192,20.7447,21.33,30,1,1.7,AO,1690411197
308,vurnary,55.4904,46.9648,18.26,88,45,4.86,RU,1690411198
309,macapa,0.0389,-51.0664,24.99,100,75,6.17,BR,1690411122
310,brookings,44.3114,-96.7984,36.17,36,0,3.09,US,1690411031
311,awjilah,29.1081,21.2869,33.62,16,0,6.71,LY,1690410980
312,chulym,55.0997,80.9572,17.37,72,74,2.06,RU,1690411198
313,goure,13.9835,10.2704,31.68,41,99,3.95,NE,1690411198
314,pekanbaru,0.5333,101.45,25.18,88,20,0.0,ID,1690411198
315,conde,-7.2597,-34.9075,24.7,83,0,3.6,BR,1690411199
316,valdivia,-39.8142,-73.2459,9.05,98,97,0.59,CL,1690410919
317,bereznik,62.8551,42.7072,14.29,97,100,1.0,RU,1690411199
318,laguna,38.421,-121.4238,37.52,31,0,4.63,US,1690410704
319,porto novo,6.4965,2.6036,25.9,91,28,2.97,BJ,1690410523
320,altamira,-3.2033,-52.2064,26.05,89,0,0.0,BR,1690411199
321,lesosibirsk,58.2358,92.4828,15.3,96,96,1.35,RU,1690411067
322,sao joao da barra,-21.6403,-41.0511,23.05,82,25,7.3,BR,1690410772
323,poronaysk,49.2167,143.1167,20.88,82,61,0.72,RU,1690410778
324,aykhal,66.0,111.5,13.85,86,100,2.83,RU,1690410809
325,brenham,30.1669,-96.3977,39.24,33,0,0.0,US,1690411201
326,labrador city,52.9463,-66.9114,16.95,77,75,3.09,CA,1690410609
327,galle,6.0367,80.217,25.64,87,100,3.24,LK,1690411203
328,kavaratti,10.5669,72.642,27.65,76,100,6.51,IN,1690410833
329,nieuw amsterdam,5.8833,-55.0833,25.08,90,48,3.19,SR,1690411203
330,nuuk,64.1835,-51.7216,5.34,93,100,6.17,GL,1690410785
331,sittwe,20.15,92.9,26.99,87,82,4.13,MM,1690411205
332,hauterive,46.0901,3.4459,16.42,73,50,1.9,FR,1690411205
333,la'ie,21.6477,-157.9253,31.98,69,40,6.51,US,1690410784
334,orkney,-26.9802,26.6727,11.4,59,0,4.39,ZA,1690411029
335,enewetak,11.3474,162.3373,28.4,76,93,6.35,MH,1690410745
336,san dionisio ocotepec,16.8,-96.4,19.99,46,47,4.44,MX,1690411206
337,chonchi,-42.6128,-73.8092,8.4,97,100,0.58,CL,1690410819
338,shillong,25.5689,91.8831,18.01,98,97,2.6,IN,1690411168
339,utrik,11.2278,169.8474,28.18,81,100,8.57,MH,1690410769
340,port alfred,-33.5906,26.891,15.66,90,100,3.13,ZA,1690410762
341,izluchinsk,60.9794,76.9242,17.01,95,73,3.18,RU,1690411208
342,plastun,44.7561,136.2939,26.19,62,73,1.35,RU,1690411208
343,kismayo,-0.3582,42.5454,24.42,80,72,6.73,SO,1690410899
344,altai,46.3722,96.2583,15.38,32,79,0.79,MN,1690411173
345,kill devil hills,36.0307,-75.676,31.0,66,0,6.69,US,1690411209
346,stephenville,32.2207,-98.2023,39.03,23,0,3.6,US,1690410926
347,minas de marcona,-15.2119,-75.1103,12.87,82,23,6.38,PE,1690410936
348,nishinoomote,30.7333,131.0,27.89,83,38,5.01,JP,1690411116
349,greenville,35.6127,-77.3663,33.97,60,75,1.54,US,1690410862
350,kahama,-3.8333,32.6,16.82,42,30,1.67,TZ,1690411209
351,hoa binh,20.8133,105.3383,26.17,91,89,0.94,VN,1690411210
352,yemva,62.59,50.8594,13.29,80,94,2.12,RU,1690411210
353,playa del ingles,27.7567,-15.5787,23.0,80,0,0.89,ES,1690411210
